nohup: 忽略输入
'CONFIGS:\n'
{'Budget_proportion': 0.5,
 'bce_loss_nita': 0.5,
 'ce_loss_gamma': 0.5,
 'cf_loss_delta': 1.0,
 'device': 'cuda:1',
 'gradient_reversal_layer': True,
 'model_name': 'CARNN',
 'model_save_path': './save/model_dict/CARNN.pth',
 'multi_gpu': False,
 'predictor_batch_size': 200,
 'predictor_drop_rate': 0.2,
 'predictor_epoch_num': 100,
 'predictor_hidden_dim': 64,
 'predictor_hidden_layer_depth': 2,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_model_path': 'None',
 'save_model': True,
 'time_decay': 1}
{'C_embedding_dim': 4,
 'U_embedding_dim': 5,
 'cat_embedding_dim_list': [5, 5, 5, 5, 5, 5, 5, 5, 5],
 'dataset': 'Mock',
 'device': 'cuda:1',
 'file_CPO_test': './data/mock/test/CPO_test.pkl',
 'file_CPO_train': './data/mock/train/CPO_train.pkl',
 'file_C_test': './data/mock/test/C_test.pkl',
 'file_C_train': './data/mock/train/C_train.pkl',
 'file_T_test': './data/mock/test/T_test.pkl',
 'file_T_train': './data/mock/train/T_train.pkl',
 'file_U_test': './data/mock/test/U_test_new.pkl',
 'file_U_train': './data/mock/train/U_train_new.pkl',
 'file_Y_test': './data/mock/test/Y_test.pkl',
 'file_Y_train': './data/mock/train/Y_train.pkl',
 'file_cat1_9_test': './data/mock/test/cat1_9_test_new.pkl',
 'file_cat1_9_train': './data/mock/train/cat1_9_train_new.pkl',
 'file_cost_test': './data/mock/test/cost_test.pkl',
 'file_cost_train': './data/mock/train/cost_train.pkl',
 'global_campaign_size': 10,
 'global_cat_num_list': [9, 23, 63, 17, 6, 30, 806, 11, 30],
 'global_user_num': 157332,
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'with_weight': False}
Start Training...
Epoch: 0 | Accuracy: 0.892 | Recall: 0.113 | Precision: 0.521| RMSE: 0.3292| AUC: 0.5501 | logloss_mean: 0.3326183937815497
Epoch: 1 | Accuracy: 0.896 | Recall: 0.164 | Precision: 0.581| RMSE: 0.3231| AUC: 0.5746 | logloss_mean: 0.2644288415288173
Epoch: 2 | Accuracy: 0.895 | Recall: 0.188 | Precision: 0.561| RMSE: 0.3239| AUC: 0.5851 | logloss_mean: 0.24695119628845488
Epoch: 3 | Accuracy: 0.898 | Recall: 0.167 | Precision: 0.629| RMSE: 0.3192| AUC: 0.5773 | logloss_mean: 0.2389667878849703
Epoch: 4 | Accuracy: 0.901 | Recall: 0.224 | Precision: 0.631| RMSE: 0.315| AUC: 0.6039 | logloss_mean: 0.23354733802233507
Epoch: 5 | Accuracy: 0.901 | Recall: 0.239 | Precision: 0.624| RMSE: 0.3147| AUC: 0.6105 | logloss_mean: 0.22485811740738673
Epoch: 6 | Accuracy: 0.903 | Recall: 0.271 | Precision: 0.629| RMSE: 0.3118| AUC: 0.6258 | logloss_mean: 0.21765045653486137
Epoch: 7 | Accuracy: 0.907 | Recall: 0.27 | Precision: 0.684| RMSE: 0.3057| AUC: 0.6273 | logloss_mean: 0.213092217800542
Epoch: 8 | Accuracy: 0.909 | Recall: 0.288 | Precision: 0.708| RMSE: 0.3014| AUC: 0.6368 | logloss_mean: 0.20933085125735373
Epoch: 9 | Accuracy: 0.909 | Recall: 0.349 | Precision: 0.654| RMSE: 0.3023| AUC: 0.6632 | logloss_mean: 0.20598725610168525
Epoch: 10 | Accuracy: 0.911 | Recall: 0.311 | Precision: 0.711| RMSE: 0.2987| AUC: 0.6477 | logloss_mean: 0.20256350887487234
Epoch: 11 | Accuracy: 0.907 | Recall: 0.302 | Precision: 0.661| RMSE: 0.3054| AUC: 0.6415 | logloss_mean: 0.20042939277962574
Epoch: 12 | Accuracy: 0.909 | Recall: 0.323 | Precision: 0.677| RMSE: 0.3014| AUC: 0.6519 | logloss_mean: 0.19682508642848545
Epoch: 13 | Accuracy: 0.911 | Recall: 0.338 | Precision: 0.694| RMSE: 0.2978| AUC: 0.6598 | logloss_mean: 0.1948711711967599
