nohup: 忽略输入
'CONFIGS:\n'
{'Budget_proportion': 0.5,
 'bce_loss_nita': 0.5,
 'ce_loss_gamma': 0.5,
 'cf_loss_delta': 0.25,
 'device': 'cuda:0',
 'gradient_reversal_layer': True,
 'model_name': 'DCRMTA',
 'model_save_path': './save/model_dict/CARNN.pth',
 'multi_gpu': False,
 'predictor_batch_size': 200,
 'predictor_drop_rate': 0.2,
 'predictor_epoch_num': 100,
 'predictor_hidden_dim': 64,
 'predictor_hidden_layer_depth': 2,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_model_path': 'None',
 'save_model': True,
 'time_decay': 1}
{'C_embedding_dim': 4,
 'U_embedding_dim': 5,
 'cat_embedding_dim_list': [5, 5, 5, 5, 5, 5, 5, 5, 5],
 'dataset': 'Mock',
 'device': 'cuda:0',
 'file_CPO_test': './data/mock/test/CPO_test.pkl',
 'file_CPO_train': './data/mock/train/CPO_train.pkl',
 'file_C_test': './data/mock/test/C_test.pkl',
 'file_C_train': './data/mock/train/C_train.pkl',
 'file_T_test': './data/mock/test/T_test.pkl',
 'file_T_train': './data/mock/train/T_train.pkl',
 'file_U_test': './data/mock/test/U_test_new.pkl',
 'file_U_train': './data/mock/train/U_train_new.pkl',
 'file_Y_test': './data/mock/test/Y_test.pkl',
 'file_Y_train': './data/mock/train/Y_train.pkl',
 'file_cat1_9_test': './data/mock/test/cat1_9_test_new.pkl',
 'file_cat1_9_train': './data/mock/train/cat1_9_train_new.pkl',
 'file_cost_test': './data/mock/test/cost_test.pkl',
 'file_cost_train': './data/mock/train/cost_train.pkl',
 'global_campaign_size': 10,
 'global_cat_num_list': [9, 23, 63, 17, 6, 30, 806, 11, 30],
 'global_user_num': 157332,
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'with_weight': False}
Training --------------------------------->
Start Training...
Epoch: 0 | Accuracy: 0.891 | Recall: 0.092 | Precision: 0.519| RMSE: 0.3296| AUC: 0.5408 | logloss_mean: 0.33299854976459614
Epoch: 1 | Accuracy: 0.896 | Recall: 0.162 | Precision: 0.591| RMSE: 0.3223| AUC: 0.5739 | logloss_mean: 0.2640911252102227
Epoch: 2 | Accuracy: 0.896 | Recall: 0.207 | Precision: 0.562| RMSE: 0.323| AUC: 0.5937 | logloss_mean: 0.2423185003035277
Epoch: 3 | Accuracy: 0.903 | Recall: 0.239 | Precision: 0.659| RMSE: 0.311| AUC: 0.6119 | logloss_mean: 0.23164468474722313
Epoch: 4 | Accuracy: 0.905 | Recall: 0.229 | Precision: 0.707| RMSE: 0.3077| AUC: 0.6086 | logloss_mean: 0.22813682483274092
Epoch: 5 | Accuracy: 0.903 | Recall: 0.272 | Precision: 0.63| RMSE: 0.3116| AUC: 0.6264 | logloss_mean: 0.21688394244868778
Epoch: 6 | Accuracy: 0.899 | Recall: 0.298 | Precision: 0.576| RMSE: 0.3174| AUC: 0.6357 | logloss_mean: 0.21054898239491346
Epoch: 7 | Accuracy: 0.905 | Recall: 0.272 | Precision: 0.66| RMSE: 0.3081| AUC: 0.6272 | logloss_mean: 0.2058912244742935
Epoch: 8 | Accuracy: 0.906 | Recall: 0.291 | Precision: 0.663| RMSE: 0.3062| AUC: 0.6363 | logloss_mean: 0.20314780308964472
Epoch: 9 | Accuracy: 0.909 | Recall: 0.344 | Precision: 0.659| RMSE: 0.302| AUC: 0.6609 | logloss_mean: 0.19960537862973016
Epoch: 10 | Accuracy: 0.907 | Recall: 0.295 | Precision: 0.674| RMSE: 0.3044| AUC: 0.6389 | logloss_mean: 0.19663552192121164
Epoch: 11 | Accuracy: 0.907 | Recall: 0.318 | Precision: 0.657| RMSE: 0.3044| AUC: 0.649 | logloss_mean: 0.1945864921616553
Epoch: 12 | Accuracy: 0.908 | Recall: 0.352 | Precision: 0.65| RMSE: 0.3026| AUC: 0.6646 | logloss_mean: 0.19138857158063685
Epoch: 13 | Accuracy: 0.909 | Recall: 0.333 | Precision: 0.671| RMSE: 0.3014| AUC: 0.6563 | logloss_mean: 0.18964519130192625
Epoch: 14 | Accuracy: 0.909 | Recall: 0.386 | Precision: 0.636| RMSE: 0.3021| AUC: 0.6796 | logloss_mean: 0.18749107567828546
Epoch: 15 | Accuracy: 0.911 | Recall: 0.391 | Precision: 0.651| RMSE: 0.2992| AUC: 0.6826 | logloss_mean: 0.18441208010738336
Epoch: 16 | Accuracy: 0.915 | Recall: 0.396 | Precision: 0.697| RMSE: 0.2914| AUC: 0.6875 | logloss_mean: 0.18237118128216961
Epoch: 17 | Accuracy: 0.914 | Recall: 0.399 | Precision: 0.683| RMSE: 0.2933| AUC: 0.6879 | logloss_mean: 0.1793711185003224
Epoch: 18 | Accuracy: 0.915 | Recall: 0.396 | Precision: 0.697| RMSE: 0.2914| AUC: 0.6874 | logloss_mean: 0.17475017957678698
Epoch: 19 | Accuracy: 0.917 | Recall: 0.38 | Precision: 0.73| RMSE: 0.2884| AUC: 0.6813 | logloss_mean: 0.17062307485532993
Epoch: 20 | Accuracy: 0.916 | Recall: 0.361 | Precision: 0.742| RMSE: 0.2891| AUC: 0.6729 | logloss_mean: 0.16839774347190717
Epoch: 21 | Accuracy: 0.918 | Recall: 0.401 | Precision: 0.729| RMSE: 0.286| AUC: 0.6913 | logloss_mean: 0.16521331758319752
Epoch: 22 | Accuracy: 0.919 | Recall: 0.407 | Precision: 0.735| RMSE: 0.2845| AUC: 0.6944 | logloss_mean: 0.16294758371755624
Epoch: 23 | Accuracy: 0.921 | Recall: 0.425 | Precision: 0.743| RMSE: 0.281| AUC: 0.7034 | logloss_mean: 0.16173131030179488
Epoch: 24 | Accuracy: 0.92 | Recall: 0.364 | Precision: 0.788| RMSE: 0.2832| AUC: 0.6762 | logloss_mean: 0.16007751035639672
Epoch: 25 | Accuracy: 0.92 | Recall: 0.411 | Precision: 0.748| RMSE: 0.2822| AUC: 0.6968 | logloss_mean: 0.1586542809924599
Epoch: 26 | Accuracy: 0.922 | Recall: 0.415 | Precision: 0.768| RMSE: 0.2787| AUC: 0.6996 | logloss_mean: 0.15740562554955193
