nohup: 忽略输入
'CONFIGS:\n'
{'Budget_proportion': 0.5,
 'bce_loss_nita': 1.0,
 'ce_loss_gamma': 0.5,
 'cf_loss_delta': 1.0,
 'device': 'cuda:0',
 'gradient_reversal_layer': True,
 'model_name': 'DCRMTA',
 'model_save_path': './save/model_dict/CARNN.pth',
 'multi_gpu': False,
 'predictor_batch_size': 200,
 'predictor_drop_rate': 0.2,
 'predictor_epoch_num': 100,
 'predictor_hidden_dim': 64,
 'predictor_hidden_layer_depth': 2,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_model_path': 'None',
 'save_model': True,
 'time_decay': 1}
{'C_embedding_dim': 4,
 'U_embedding_dim': 5,
 'cat_embedding_dim_list': [5, 5, 5, 5, 5, 5, 5, 5, 5],
 'dataset': 'Mock',
 'device': 'cuda:0',
 'file_CPO_test': './data/mock/test/CPO_test.pkl',
 'file_CPO_train': './data/mock/train/CPO_train.pkl',
 'file_C_test': './data/mock/test/C_test.pkl',
 'file_C_train': './data/mock/train/C_train.pkl',
 'file_T_test': './data/mock/test/T_test.pkl',
 'file_T_train': './data/mock/train/T_train.pkl',
 'file_U_test': './data/mock/test/U_test_new.pkl',
 'file_U_train': './data/mock/train/U_train_new.pkl',
 'file_Y_test': './data/mock/test/Y_test.pkl',
 'file_Y_train': './data/mock/train/Y_train.pkl',
 'file_cat1_9_test': './data/mock/test/cat1_9_test_new.pkl',
 'file_cat1_9_train': './data/mock/train/cat1_9_train_new.pkl',
 'file_cost_test': './data/mock/test/cost_test.pkl',
 'file_cost_train': './data/mock/train/cost_train.pkl',
 'global_campaign_size': 10,
 'global_cat_num_list': [9, 23, 63, 17, 6, 30, 806, 11, 30],
 'global_user_num': 157332,
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'with_weight': False}
Training --------------------------------->
Start Training...
Epoch: 0 | Accuracy: 0.886 | Recall: 0.043 | Precision: 0.341| RMSE: 0.3372| AUC: 0.5163 | logloss_mean: 0.3278385268578541
Epoch: 1 | Accuracy: 0.894 | Recall: 0.162 | Precision: 0.552| RMSE: 0.3256| AUC: 0.573 | logloss_mean: 0.2592927572832813
Epoch: 2 | Accuracy: 0.898 | Recall: 0.206 | Precision: 0.593| RMSE: 0.3198| AUC: 0.5943 | logloss_mean: 0.23929736121259268
Epoch: 3 | Accuracy: 0.901 | Recall: 0.243 | Precision: 0.625| RMSE: 0.3142| AUC: 0.6124 | logloss_mean: 0.22434808977526946
Epoch: 4 | Accuracy: 0.9 | Recall: 0.292 | Precision: 0.585| RMSE: 0.3164| AUC: 0.6334 | logloss_mean: 0.2156462428675404
Epoch: 5 | Accuracy: 0.903 | Recall: 0.224 | Precision: 0.663| RMSE: 0.312| AUC: 0.605 | logloss_mean: 0.22044053476629327
Epoch: 6 | Accuracy: 0.901 | Recall: 0.287 | Precision: 0.597| RMSE: 0.3149| AUC: 0.6315 | logloss_mean: 0.21765324803412828
Epoch: 7 | Accuracy: 0.907 | Recall: 0.297 | Precision: 0.665| RMSE: 0.3054| AUC: 0.6391 | logloss_mean: 0.20626830891027903
Epoch: 8 | Accuracy: 0.91 | Recall: 0.293 | Precision: 0.71| RMSE: 0.3007| AUC: 0.6391 | logloss_mean: 0.2016184380079068
Epoch: 9 | Accuracy: 0.91 | Recall: 0.359 | Precision: 0.661| RMSE: 0.3003| AUC: 0.6684 | logloss_mean: 0.1967012194591095
Epoch: 10 | Accuracy: 0.911 | Recall: 0.339 | Precision: 0.689| RMSE: 0.2984| AUC: 0.6599 | logloss_mean: 0.19299736578306817
Epoch: 11 | Accuracy: 0.908 | Recall: 0.316 | Precision: 0.674| RMSE: 0.3025| AUC: 0.6485 | logloss_mean: 0.19111308261064938
Epoch: 12 | Accuracy: 0.909 | Recall: 0.347 | Precision: 0.664| RMSE: 0.301| AUC: 0.6627 | logloss_mean: 0.18789651859732506
Epoch: 13 | Accuracy: 0.911 | Recall: 0.335 | Precision: 0.692| RMSE: 0.2984| AUC: 0.6583 | logloss_mean: 0.1858761043748954
