nohup: 忽略输入
'CONFIGS:\n'
{'Budget_proportion': 0.5,
 'bce_loss_nita': 0.5,
 'ce_loss_gamma': 0.5,
 'cf_loss_delta': 0,
 'device': 'cuda:0',
 'gradient_reversal_layer': True,
 'model_name': 'DCRMTA',
 'model_save_path': './save/model_dict/CARNN.pth',
 'multi_gpu': False,
 'predictor_batch_size': 200,
 'predictor_drop_rate': 0.2,
 'predictor_epoch_num': 100,
 'predictor_hidden_dim': 64,
 'predictor_hidden_layer_depth': 2,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_model_path': 'None',
 'save_model': True,
 'time_decay': 1}
{'C_embedding_dim': 4,
 'U_embedding_dim': 5,
 'cat_embedding_dim_list': [5, 5, 5, 5, 5, 5, 5, 5, 5],
 'dataset': 'Mock',
 'device': 'cuda:0',
 'file_CPO_test': './data/mock/test/CPO_test.pkl',
 'file_CPO_train': './data/mock/train/CPO_train.pkl',
 'file_C_test': './data/mock/test/C_test.pkl',
 'file_C_train': './data/mock/train/C_train.pkl',
 'file_T_test': './data/mock/test/T_test.pkl',
 'file_T_train': './data/mock/train/T_train.pkl',
 'file_U_test': './data/mock/test/U_test_new.pkl',
 'file_U_train': './data/mock/train/U_train_new.pkl',
 'file_Y_test': './data/mock/test/Y_test.pkl',
 'file_Y_train': './data/mock/train/Y_train.pkl',
 'file_cat1_9_test': './data/mock/test/cat1_9_test_new.pkl',
 'file_cat1_9_train': './data/mock/train/cat1_9_train_new.pkl',
 'file_cost_test': './data/mock/test/cost_test.pkl',
 'file_cost_train': './data/mock/train/cost_train.pkl',
 'global_campaign_size': 10,
 'global_cat_num_list': [9, 23, 63, 17, 6, 30, 806, 11, 30],
 'global_user_num': 157332,
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'with_weight': False}
Training --------------------------------->
Start Training...
Epoch: 0 | Accuracy: 0.892 | Recall: 0.057 | Precision: 0.57| RMSE: 0.3284| AUC: 0.526 | logloss_mean: 0.3331144143583126
Epoch: 1 | Accuracy: 0.896 | Recall: 0.202 | Precision: 0.562| RMSE: 0.3232| AUC: 0.5912 | logloss_mean: 0.25907294012750814
Epoch: 2 | Accuracy: 0.896 | Recall: 0.254 | Precision: 0.554| RMSE: 0.3224| AUC: 0.6144 | logloss_mean: 0.23310536704957485
Epoch: 3 | Accuracy: 0.903 | Recall: 0.276 | Precision: 0.629| RMSE: 0.3114| AUC: 0.628 | logloss_mean: 0.22326716155862636
Epoch: 4 | Accuracy: 0.907 | Recall: 0.268 | Precision: 0.699| RMSE: 0.3044| AUC: 0.627 | logloss_mean: 0.2195691022099656
Epoch: 5 | Accuracy: 0.904 | Recall: 0.323 | Precision: 0.615| RMSE: 0.3101| AUC: 0.6491 | logloss_mean: 0.21039755227387819
Epoch: 6 | Accuracy: 0.901 | Recall: 0.338 | Precision: 0.581| RMSE: 0.3147| AUC: 0.6539 | logloss_mean: 0.20486249172499457
Epoch: 7 | Accuracy: 0.904 | Recall: 0.309 | Precision: 0.628| RMSE: 0.3092| AUC: 0.6432 | logloss_mean: 0.2004942157875421
Epoch: 8 | Accuracy: 0.908 | Recall: 0.317 | Precision: 0.672| RMSE: 0.3027| AUC: 0.6489 | logloss_mean: 0.19777734861573548
Epoch: 9 | Accuracy: 0.907 | Recall: 0.343 | Precision: 0.645| RMSE: 0.3041| AUC: 0.6599 | logloss_mean: 0.19431153511248747
Epoch: 10 | Accuracy: 0.907 | Recall: 0.323 | Precision: 0.653| RMSE: 0.3047| AUC: 0.651 | logloss_mean: 0.19146106114556777
Epoch: 11 | Accuracy: 0.907 | Recall: 0.314 | Precision: 0.651| RMSE: 0.3057| AUC: 0.6466 | logloss_mean: 0.18923964611824276
Epoch: 12 | Accuracy: 0.906 | Recall: 0.337 | Precision: 0.631| RMSE: 0.3068| AUC: 0.6564 | logloss_mean: 0.18667463169803897
Epoch: 13 | Accuracy: 0.907 | Recall: 0.341 | Precision: 0.636| RMSE: 0.3057| AUC: 0.6585 | logloss_mean: 0.184826138890484
