nohup: 忽略输入
'CONFIGS:\n'
{'Budget_proportion': 0.5,
 'bce_loss_nita': 0.5,
 'ce_loss_gamma': 0.5,
 'dc_batch_size': 500,
 'dc_epoch_num': 100,
 'dc_hidden_layer': 4,
 'dc_hidden_size': 10,
 'dc_learning_rate': 0.01,
 'dc_user_embedding_dim': 5,
 'device': 'cuda:0',
 'gradient_reversal_layer': True,
 'model_name': 'causalMTA',
 'model_save_path': './save/model_dict/causalMTA_nw.pth',
 'multi_gpu': False,
 'pre_dc_path': './save/model_dict/reweighting/dc/dc_1.mdl',
 'pre_vae_path': './save/model_dict/reweighting/vae/vae_01.mdl',
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'predictor_batch_size': 200,
 'predictor_drop_rate': 0.2,
 'predictor_epoch_num': 100,
 'predictor_fc_hidden_dim': 48,
 'predictor_fc_hidden_layer': 2,
 'predictor_hidden_dim': 64,
 'predictor_hidden_layer_depth': 2,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_conversion_pred_model': False,
 'pretrained_model_path': './save/model_dict/causalMTA_nw.pth',
 'save_model': True,
 'stored_dc_path': './save/model_dict/reweighting/dc/dc_1.mdl',
 'stored_vae_path': './save/model_dict/reweighting/vae/vae_01.mdl',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'train_dc': False,
 'train_vae': False,
 'vae_LSTM_hidden_dim': 30,
 'vae_batch_size': 200,
 'vae_epoch_num': 80,
 'vae_latent_variable_size': 5,
 'vae_learning_rate': 0.0005,
 'var_loss_lambda': 0}
{'C_embedding_dim': 4,
 'U_embedding_dim': 5,
 'cat_embedding_dim_list': [5, 5, 5, 5, 5, 5, 5, 5, 5],
 'dataset': 'Mock',
 'device': 'cuda:0',
 'file_CPO_test': './data/mock/test/CPO_test.pkl',
 'file_CPO_train': './data/mock/train/CPO_train.pkl',
 'file_C_test': './data/mock/test/C_test.pkl',
 'file_C_train': './data/mock/train/C_train.pkl',
 'file_T_test': './data/mock/test/T_test.pkl',
 'file_T_train': './data/mock/train/T_train.pkl',
 'file_U_test': './data/mock/test/U_test_new.pkl',
 'file_U_train': './data/mock/train/U_train_new.pkl',
 'file_Y_test': './data/mock/test/Y_test.pkl',
 'file_Y_train': './data/mock/train/Y_train.pkl',
 'file_cat1_9_test': './data/mock/test/cat1_9_test_new.pkl',
 'file_cat1_9_train': './data/mock/train/cat1_9_train_new.pkl',
 'file_cost_test': './data/mock/test/cost_test.pkl',
 'file_cost_train': './data/mock/train/cost_train.pkl',
 'global_campaign_size': 10,
 'global_cat_num_list': [9, 23, 63, 17, 6, 30, 806, 11, 30],
 'global_user_num': 157332,
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'with_weight': True}
Start Training...
Epoch: 0 | Accuracy: 0.902 | Recall: 0.195 | Precision: 0.679| RMSE: 0.3133| AUC: 0.5916 | logloss_mean: 0.336485411275576
Epoch: 1 | Accuracy: 0.903 | Recall: 0.201 | Precision: 0.699| RMSE: 0.3112| AUC: 0.5952 | logloss_mean: 0.2605854080248516
Epoch: 2 | Accuracy: 0.903 | Recall: 0.375 | Precision: 0.591| RMSE: 0.3111| AUC: 0.6716 | logloss_mean: 0.25188910604897635
Epoch: 3 | Accuracy: 0.9 | Recall: 0.366 | Precision: 0.565| RMSE: 0.3165| AUC: 0.6658 | logloss_mean: 0.2425497308717046
Epoch: 4 | Accuracy: 0.908 | Recall: 0.401 | Precision: 0.622| RMSE: 0.3036| AUC: 0.6857 | logloss_mean: 0.23286506652072506
Epoch: 5 | Accuracy: 0.907 | Recall: 0.378 | Precision: 0.622| RMSE: 0.3053| AUC: 0.6747 | logloss_mean: 0.21752417785594763
Epoch: 6 | Accuracy: 0.915 | Recall: 0.394 | Precision: 0.698| RMSE: 0.2914| AUC: 0.6865 | logloss_mean: 0.20666653692758488
Epoch: 7 | Accuracy: 0.914 | Recall: 0.401 | Precision: 0.68| RMSE: 0.2934| AUC: 0.6891 | logloss_mean: 0.1982482296496051
Epoch: 8 | Accuracy: 0.912 | Recall: 0.414 | Precision: 0.654| RMSE: 0.2968| AUC: 0.6934 | logloss_mean: 0.19195925906409048
Epoch: 9 | Accuracy: 0.908 | Recall: 0.42 | Precision: 0.617| RMSE: 0.3032| AUC: 0.6939 | logloss_mean: 0.18646513441921148
Epoch: 10 | Accuracy: 0.917 | Recall: 0.405 | Precision: 0.71| RMSE: 0.2883| AUC: 0.6924 | logloss_mean: 0.18171122398010445
Epoch: 11 | Accuracy: 0.917 | Recall: 0.425 | Precision: 0.693| RMSE: 0.2889| AUC: 0.7009 | logloss_mean: 0.17656442935316308
Epoch: 12 | Accuracy: 0.916 | Recall: 0.451 | Precision: 0.672| RMSE: 0.2901| AUC: 0.712 | logloss_mean: 0.17396332923033572
Epoch: 13 | Accuracy: 0.921 | Recall: 0.428 | Precision: 0.742| RMSE: 0.2808| AUC: 0.7049 | logloss_mean: 0.1700274428009119
Epoch: 14 | Accuracy: 0.918 | Recall: 0.435 | Precision: 0.707| RMSE: 0.2855| AUC: 0.7063 | logloss_mean: 0.1682205701391529
Epoch: 15 | Accuracy: 0.919 | Recall: 0.421 | Precision: 0.721| RMSE: 0.2848| AUC: 0.7007 | logloss_mean: 0.16666162395578565
Epoch: 16 | Accuracy: 0.921 | Recall: 0.438 | Precision: 0.733| RMSE: 0.2809| AUC: 0.7094 | logloss_mean: 0.16397485162303285
Epoch: 17 | Accuracy: 0.92 | Recall: 0.413 | Precision: 0.74| RMSE: 0.2829| AUC: 0.6976 | logloss_mean: 0.16246745246236474
Epoch: 18 | Accuracy: 0.923 | Recall: 0.467 | Precision: 0.732| RMSE: 0.2774| AUC: 0.7232 | logloss_mean: 0.1601419439358474
Epoch: 19 | Accuracy: 0.922 | Recall: 0.517 | Precision: 0.689| RMSE: 0.2799| AUC: 0.7441 | logloss_mean: 0.1584199766438563
Epoch: 20 | Accuracy: 0.923 | Recall: 0.422 | Precision: 0.765| RMSE: 0.2781| AUC: 0.703 | logloss_mean: 0.15712581761181355
Epoch: 21 | Accuracy: 0.925 | Recall: 0.457 | Precision: 0.762| RMSE: 0.2738| AUC: 0.7199 | logloss_mean: 0.15574188428722974
Epoch: 22 | Accuracy: 0.923 | Recall: 0.453 | Precision: 0.739| RMSE: 0.2781| AUC: 0.7165 | logloss_mean: 0.1545419083202927
