nohup: 忽略输入
'CONFIGS:\n'
{'Budget_proportion': 0.5,
 'bce_loss_nita': 1,
 'ce_loss_gamma': 0,
 'dc_batch_size': 500,
 'dc_epoch_num': 100,
 'dc_hidden_layer': 4,
 'dc_hidden_size': 10,
 'dc_learning_rate': 0.01,
 'dc_user_embedding_dim': 5,
 'device': 'cuda:0',
 'gradient_reversal_layer': True,
 'model_name': 'causalMTA',
 'model_save_path': './save/model_dict/causalMTA_nw.pth',
 'multi_gpu': False,
 'pre_dc_path': './save/model_dict/reweighting/dc/dc_1.mdl',
 'pre_vae_path': './save/model_dict/reweighting/vae/vae_01.mdl',
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'predictor_batch_size': 200,
 'predictor_drop_rate': 0.2,
 'predictor_epoch_num': 100,
 'predictor_fc_hidden_dim': 48,
 'predictor_fc_hidden_layer': 2,
 'predictor_hidden_dim': 64,
 'predictor_hidden_layer_depth': 2,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_conversion_pred_model': False,
 'pretrained_model_path': './save/model_dict/causalMTA_nw.pth',
 'save_model': True,
 'stored_dc_path': './save/model_dict/reweighting/dc/dc_1.mdl',
 'stored_vae_path': './save/model_dict/reweighting/vae/vae_01.mdl',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'train_dc': False,
 'train_vae': False,
 'vae_LSTM_hidden_dim': 30,
 'vae_batch_size': 200,
 'vae_epoch_num': 80,
 'vae_latent_variable_size': 5,
 'vae_learning_rate': 0.0005,
 'var_loss_lambda': 0}
{'C_embedding_dim': 4,
 'U_embedding_dim': 5,
 'cat_embedding_dim_list': [5, 5, 5, 5, 5, 5, 5, 5, 5],
 'device': 'cuda:0',
 'file_CPO_test': './data/test/CPO_test.pkl',
 'file_CPO_train': './data/train/CPO_train.pkl',
 'file_C_test': './data/test/C_test.pkl',
 'file_C_train': './data/train/C_train.pkl',
 'file_T_test': './data/test/T_test.pkl',
 'file_T_train': './data/train/T_train.pkl',
 'file_U_test': './data/test/U_test_new.pkl',
 'file_U_train': './data/train/U_train_new.pkl',
 'file_Y_test': './data/test/Y_test.pkl',
 'file_Y_train': './data/train/Y_train.pkl',
 'file_cat1_9_test': './data/test/cat1_9_test_new.pkl',
 'file_cat1_9_train': './data/train/cat1_9_train_new.pkl',
 'file_cost_test': './data/test/cost_test.pkl',
 'file_cost_train': './data/train/cost_train.pkl',
 'global_campaign_size': 10,
 'global_cat_num_list': [9, 23, 63, 17, 6, 30, 806, 11, 30],
 'global_user_num': 157332,
 'pre_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'stored_weights_path': './save/model_dict/reweighting/weights/weights_03.npy',
 'with_weight': False}
Start Training...
Epoch: 0 | Accuracy: 0.904 | Recall: 0.238 | Precision: 0.669| RMSE: 0.3102| AUC: 0.6117 | logloss_mean: 0.3292902195735753
Epoch: 1 | Accuracy: 0.902 | Recall: 0.291 | Precision: 0.613| RMSE: 0.3125| AUC: 0.6341 | logloss_mean: 0.24397215935247904
Epoch: 2 | Accuracy: 0.907 | Recall: 0.352 | Precision: 0.631| RMSE: 0.3056| AUC: 0.6632 | logloss_mean: 0.21735821332493163
Epoch: 3 | Accuracy: 0.912 | Recall: 0.348 | Precision: 0.698| RMSE: 0.2964| AUC: 0.6645 | logloss_mean: 0.19753052847622668
Epoch: 4 | Accuracy: 0.916 | Recall: 0.364 | Precision: 0.735| RMSE: 0.2897| AUC: 0.674 | logloss_mean: 0.18671046046413553
Epoch: 5 | Accuracy: 0.916 | Recall: 0.382 | Precision: 0.719| RMSE: 0.2897| AUC: 0.6819 | logloss_mean: 0.1794661276440308
Epoch: 6 | Accuracy: 0.919 | Recall: 0.414 | Precision: 0.732| RMSE: 0.2841| AUC: 0.6977 | logloss_mean: 0.17372790440121322
Epoch: 7 | Accuracy: 0.92 | Recall: 0.423 | Precision: 0.727| RMSE: 0.2836| AUC: 0.702 | logloss_mean: 0.17028669021047146
Epoch: 8 | Accuracy: 0.92 | Recall: 0.421 | Precision: 0.734| RMSE: 0.2828| AUC: 0.7011 | logloss_mean: 0.16682388642531576
Epoch: 9 | Accuracy: 0.919 | Recall: 0.441 | Precision: 0.713| RMSE: 0.2838| AUC: 0.7095 | logloss_mean: 0.16445871925397407
Epoch: 10 | Accuracy: 0.921 | Recall: 0.43 | Precision: 0.743| RMSE: 0.2804| AUC: 0.7058 | logloss_mean: 0.16213667236304688
Epoch: 11 | Accuracy: 0.921 | Recall: 0.44 | Precision: 0.73| RMSE: 0.2811| AUC: 0.7102 | logloss_mean: 0.16020430498801677
Epoch: 12 | Accuracy: 0.922 | Recall: 0.443 | Precision: 0.738| RMSE: 0.2796| AUC: 0.7117 | logloss_mean: 0.15752084136407063
Epoch: 13 | Accuracy: 0.926 | Recall: 0.468 | Precision: 0.765| RMSE: 0.2718| AUC: 0.7253 | logloss_mean: 0.15591862055391653
Epoch: 14 | Accuracy: 0.923 | Recall: 0.417 | Precision: 0.777| RMSE: 0.2771| AUC: 0.7014 | logloss_mean: 0.15374173568923352
Epoch: 15 | Accuracy: 0.923 | Recall: 0.443 | Precision: 0.755| RMSE: 0.2768| AUC: 0.7125 | logloss_mean: 0.1524553375987752
Epoch: 16 | Accuracy: 0.924 | Recall: 0.423 | Precision: 0.788| RMSE: 0.2748| AUC: 0.7045 | logloss_mean: 0.15085729300180106
Epoch: 17 | Accuracy: 0.923 | Recall: 0.405 | Precision: 0.792| RMSE: 0.277| AUC: 0.696 | logloss_mean: 0.14976094187535707
Epoch: 18 | Accuracy: 0.924 | Recall: 0.441 | Precision: 0.768| RMSE: 0.275| AUC: 0.7125 | logloss_mean: 0.14787328782156833
Epoch: 19 | Accuracy: 0.927 | Recall: 0.485 | Precision: 0.761| RMSE: 0.2701| AUC: 0.7332 | logloss_mean: 0.14695924138921557
Epoch: 20 | Accuracy: 0.925 | Recall: 0.455 | Precision: 0.76| RMSE: 0.2745| AUC: 0.7186 | logloss_mean: 0.14519688506493145
Epoch: 21 | Accuracy: 0.927 | Recall: 0.491 | Precision: 0.754| RMSE: 0.2706| AUC: 0.7358 | logloss_mean: 0.1443683373949771
Epoch: 22 | Accuracy: 0.925 | Recall: 0.468 | Precision: 0.748| RMSE: 0.2746| AUC: 0.7245 | logloss_mean: 0.14257365799716953
Epoch: 23 | Accuracy: 0.928 | Recall: 0.448 | Precision: 0.803| RMSE: 0.269| AUC: 0.7175 | logloss_mean: 0.14177097665887434
Epoch: 24 | Accuracy: 0.927 | Recall: 0.479 | Precision: 0.771| RMSE: 0.2693| AUC: 0.7307 | logloss_mean: 0.14101856516095476
Epoch: 25 | Accuracy: 0.928 | Recall: 0.473 | Precision: 0.781| RMSE: 0.2687| AUC: 0.7282 | logloss_mean: 0.14037102258773249
Epoch: 26 | Accuracy: 0.928 | Recall: 0.476 | Precision: 0.78| RMSE: 0.2683| AUC: 0.7297 | logloss_mean: 0.13923610814675255
Epoch: 27 | Accuracy: 0.931 | Recall: 0.519 | Precision: 0.774| RMSE: 0.263| AUC: 0.7501 | logloss_mean: 0.13850611453261047
Epoch: 28 | Accuracy: 0.929 | Recall: 0.467 | Precision: 0.802| RMSE: 0.2663| AUC: 0.7264 | logloss_mean: 0.13724989531724488
Epoch: 29 | Accuracy: 0.929 | Recall: 0.536 | Precision: 0.743| RMSE: 0.2666| AUC: 0.7564 | logloss_mean: 0.13659523370974128
Epoch: 30 | Accuracy: 0.93 | Recall: 0.488 | Precision: 0.798| RMSE: 0.2636| AUC: 0.7364 | logloss_mean: 0.13515566772265922
Epoch: 31 | Accuracy: 0.929 | Recall: 0.481 | Precision: 0.79| RMSE: 0.2659| AUC: 0.7327 | logloss_mean: 0.1345889028206974
Epoch: 32 | Accuracy: 0.929 | Recall: 0.495 | Precision: 0.778| RMSE: 0.2659| AUC: 0.7386 | logloss_mean: 0.13387185741595706
Epoch: 33 | Accuracy: 0.928 | Recall: 0.46 | Precision: 0.799| RMSE: 0.2678| AUC: 0.7231 | logloss_mean: 0.13317710177936745
Epoch: 34 | Accuracy: 0.931 | Recall: 0.508 | Precision: 0.782| RMSE: 0.2633| AUC: 0.7452 | logloss_mean: 0.13279866727376446
Epoch: 35 | Accuracy: 0.929 | Recall: 0.482 | Precision: 0.79| RMSE: 0.2658| AUC: 0.7331 | logloss_mean: 0.13136175308756312
Epoch: 36 | Accuracy: 0.932 | Recall: 0.516 | Precision: 0.791| RMSE: 0.2605| AUC: 0.7495 | logloss_mean: 0.13059800960015036
Epoch: 37 | Accuracy: 0.931 | Recall: 0.508 | Precision: 0.78| RMSE: 0.2636| AUC: 0.7452 | logloss_mean: 0.1303287999189088
Epoch: 38 | Accuracy: 0.928 | Recall: 0.504 | Precision: 0.76| RMSE: 0.2676| AUC: 0.7424 | logloss_mean: 0.12954957241608392
Epoch: 39 | Accuracy: 0.93 | Recall: 0.462 | Precision: 0.821| RMSE: 0.2643| AUC: 0.7249 | logloss_mean: 0.12852408224716783
Epoch: 40 | Accuracy: 0.93 | Recall: 0.485 | Precision: 0.792| RMSE: 0.2651| AUC: 0.7345 | logloss_mean: 0.1281606004510111
Epoch: 41 | Accuracy: 0.931 | Recall: 0.513 | Precision: 0.782| RMSE: 0.2625| AUC: 0.7475 | logloss_mean: 0.12780308122158918
Epoch: 42 | Accuracy: 0.93 | Recall: 0.479 | Precision: 0.804| RMSE: 0.2642| AUC: 0.7321 | logloss_mean: 0.12713021160673024
Epoch: 43 | Accuracy: 0.931 | Recall: 0.486 | Precision: 0.808| RMSE: 0.2623| AUC: 0.7359 | logloss_mean: 0.125780712261579
Epoch: 44 | Accuracy: 0.931 | Recall: 0.502 | Precision: 0.791| RMSE: 0.2626| AUC: 0.7429 | logloss_mean: 0.1252424779745922
